"Timestamp","Year of graduation","Major (B.Tech)","What was your CGPA?","Were you a member of the student council or fest organization committees?","Were you a member of any of the branch associations, IEEE, ASME, etc?","Were you a member of any of the clubs and societies?","Did you hold any administrative position in the clubs and societies you were a member of?","Did you secure a job through campus placements?","Your Gender","Age","Time spent on academics","Time spent on extra curricular activities","Social life","My appetite for risk","In terms of applying/experimenting with what I learn in class","Did you earn a second degree since graduating from NIT Warangal?","If yes, which field is it?","How many years of work experience do you have?","What is your current field of work?","How would you rate your satisfaction in your current/last job?"
"2017/07/11 4:40:19 AM GMT+1","2009","Metallurgy and Materials Engineering","7 to 8","Yes","Yes","Yes","Yes","Yes","Male","31","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent more time applying/experimenting","Yes","Supply Chain and Purchasing Management","6","Procurement","7"
"2017/07/11 6:18:13 AM GMT+1","2013","Civil Engineering","7 to 8","No","No","Yes","Yes","Yes","Male","26","I would have spent the same amount of time that I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent more time applying/experimenting","No","","3",".","8"
"2017/07/11 6:23:30 AM GMT+1","2013","Civil Engineering","7 to 8","Yes","Yes","Yes","Yes","No","Male","26","I would have spent the same amount of time that I did","I would have spent less time than I did","I would have spent the same amount of time that I did","Would have been lesser than what I had","Would have spent the same amount of time as academics","No","","3","AE MPRDC","9"
"2017/07/11 3:21:00 PM GMT+1","2013","Computer Science and Engineering","7 to 8","Yes","No","Yes","No","Yes","Male","23","I would have spent less time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent less time applying/experimenting","No","","1","software developer","5"
"2017/07/11 6:14:53 PM GMT+1","2013","Chemical Engineering",">9","No","No","Yes","Yes","No","Male","25","I would have spent less time than I did","I would have spent less time than I did","I would have spent the same amount of time that I did","Would have been lesser than what I had","Would have spent the same amount of time as academics","No","","0","Aspirant","6"
"2017/07/11 7:35:58 PM GMT+1","2013","Computer Science and Engineering","7 to 8","No","No","Yes","No","No","Male","28","I would have spent less time than I did","I would have spent more time than I did","I would have spent more time than I did","Would have been the same that I had","Would have spent more time applying/experimenting","No","","4","Military ","10"
"2017/07/12 4:16:09 AM GMT+1","2010","Computer Science and Engineering","8 to 9","No","No","Yes","Yes","Yes","Female","28","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent more time applying/experimenting","No","","7","Product Management","9"
"2017/07/12 2:42:09 PM GMT+1","2013","Mechanical Engineering","7 to 8","Yes","No","Yes","Yes","Yes","Male","26","I would have spent more time than I did","I would have spent less time than I did","I would have spent more time than I did","Would have been the same that I had","Would have spent more time applying/experimenting","No","","3","Mecha","3"
"2017/07/12 6:17:29 PM GMT+1","2012","Computer Science and Engineering","8 to 9","No","No","No","No","Yes","Male","26","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent more time applying/experimenting","No","","5","Software engineer","9"
"2017/07/12 6:25:52 PM GMT+1","2009","Electrical and Electronic Engineering","6 to 7","Yes","Yes","No","No","No","Do not prefer to answer","28","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent more time applying/experimenting","Yes"," Engineering","5","Electrical Engineer","8"
"2017/07/13 4:40:55 AM GMT+1","2012","Electronics and Communication Engineering","6 to 7","No","Yes","Yes","No","No","Female","26","I would have spent the same amount of time that I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent less time applying/experimenting","No","","2","Embedded","5"
"2017/07/13 7:09:29 PM GMT+1","2013","Mechanical Engineering",">9","No","Yes","Yes","Yes","Yes","Male","24","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent the same amount of time as academics","Yes","Mech eng ","2","Fluid mechanics ","9"
"2017/07/13 11:32:28 PM GMT+1","2013","Chemical Engineering","6 to 7","Yes","No","No","Yes","Yes","Male","25","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent more time than I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","3","IT","3"
"2017/07/14 4:48:02 AM GMT+1","2012","Electronics and Communication Engineering","7 to 8","No","No","No","No","Yes","Male","28","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent the same amount of time as academics","No","","3 ","Mobile ","7"
"2017/07/14 5:56:49 AM GMT+1","2012","Computer Science and Engineering","8 to 9","Yes","Yes","Yes","Yes","Yes","Male","23","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","1","Software Engineer","7"
"2017/07/14 9:03:04 AM GMT+1","2013","Civil Engineering","6 to 7","Yes","No","Yes","Yes","Yes","Male","23","I would have spent less time than I did","I would have spent more time than I did","I would have spent less time than I did","Would have been the same that I had","Would have spent the same amount of time as academics","No","","1","civil","9"
"2017/07/14 11:05:32 PM GMT+1","2011","Electrical and Electronic Engineering","7 to 8","No","Yes","No","No","Yes","Male","27","I would have spent more time than I did","I would have spent more time than I did","I would have spent less time than I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","6","Electrical Maintenance","3"
"2017/07/15 1:33:12 PM GMT+1","2010","Electronics and Communication Engineering","6 to 7","No","No","No","No","No","Male","29","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been more than what I had","Would have spent the same amount of time as academics","No","","5","telecommonunication","6"
"2017/07/17 5:43:38 AM GMT+1","2011","Electrical and Electronic Engineering","8 to 9","Yes","Yes","Yes","Yes","Yes","Male","24","I would have spent more time than I did","I would have spent more time than I did","I would have spent more time than I did","Would have been more than what I had","Would have spent more time applying/experimenting","No","","1","Electronics","6"
"2017/07/17 12:40:49 PM GMT+1","2010","Civil Engineering",">9","Yes","Yes","Yes","Yes","No","Male","27","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","I would have spent more time than I did","Would have been lesser than what I had","Would have spent the same amount of time as academics","Yes","Mtech","0","Unemployment ","1"
"2017/07/17 6:51:37 PM GMT+1","2012","Electronics and Communication Engineering","7 to 8","No","No","No","No","Yes","Male","29","I would have spent the same amount of time that I did","I would have spent less time than I did","I would have spent more time than I did","Would have been more than what I had","Would have spent the same amount of time as academics","No","","4","planning engineer","6"
"2017/07/18 10:54:46 PM GMT+1","2013","Chemical Engineering","6 to 7","Yes","No","No","No","Yes","Male","27","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent the same amount of time as academics","No","","4","Plastic recycling ","9"
"2017/08/31 4:05:20 AM GMT+1","2013","Civil Engineering","6 to 7","No","No","No","No","Yes","Male","25","I would have spent more time than I did","I would have spent more time than I did","I would have spent the same amount of time that I did","Would have been lesser than what I had","Would have spent more time applying/experimenting","No","","4","Planning","7"
"2017/08/31 6:26:44 PM GMT+1","2013","Computer Science and Engineering","8 to 9","No","No","Yes","Yes","Yes","Male","25","I would have spent more time than I did","I would have spent the same amount of time that I did","I would have spent the same amount of time that I did","Would have been the same that I had","Would have spent more time applying/experimenting","Yes","CSE","4","Software Engineering","9"
